Quantity,Price,Side,Time
0.0001,30262.12,SELL,1688793536597
0.0001,30205.02,SELL,1688793597447
0.0001,30213.99,BUY,1688793597804
0.0001,30214.979999999996,BUY,1688793658363
0.0001,30277.08,SELL,1688793658844
0.0001,30214.979999999996,BUY,1688793719816
0.0001,30214.979999999996,BUY,1688793780735
0.0001,30259.07,SELL,1688793781094
0.0001,30214.979999999996,BUY,1688793842040
0.0001,30260.88,SELL,1688793842272
0.0001,30214.989999999998,BUY,1688793902718
0.0001,30214.989999999998,BUY,1688793963869
0.0001,30241.51,SELL,1688793964240
0.0001,30214.989999999998,BUY,1688794024888
0.0001,30285.99,SELL,1688794025378
0.0001,30216.84,BUY,1688794086102
0.0001,30243.45,SELL,1688794086459
0.0001,30216.84,BUY,1688794147189
0.0001,30253.23,SELL,1688794147683
0.0001,30234.519999999997,BUY,1688794208595
0.0001,30248.48,SELL,1688794208958
0.0001,30220.01,SELL,1688794269654
0.0001,30160.25,BUY,1688794270013
0.0001,30229.97,BUY,1688794330610
0.0001,30241.62,SELL,1688794330979
0.0001,30234.96,BUY,1688794391598
0.0001,30261.89,SELL,1688794391960
0.0001,30215.010000000002,SELL,1688794452762
0.0001,30143.33,BUY,1688794453119
0.0001,30249.999999999996,SELL,1688796325695
0.0001,30249.27,BUY,1688796326226
0.0001,30235.01,SELL,1688796387385
0.0001,30249.97,BUY,1688796387900
0.0001,30250.93,BUY,1688796448654
0.0001,30255.58,SELL,1688796449158
0.0001,30235.51,SELL,1688796509775
0.0001,30247.29,BUY,1688796510131
0.0001,30249.98,BUY,1688796570847
0.0001,30256.78,SELL,1688796571222
0.0001,30235.01,SELL,1688796631840
0.0001,30200.1,BUY,1688796632204
0.0001,30240.01,SELL,1688796692807
0.0001,30232.44,BUY,1688796693065
0.0001,30241.349999999995,SELL,1688796753456
0.0001,30229.97,BUY,1688796753973
0.0001,30251.22,BUY,1688796814842
0.0001,30250.16,SELL,1688796815344
0.0001,30240.01,SELL,1688796876207
0.0001,30209.18,BUY,1688796876580
0.0001,30207.29,BUY,1688797239480
0.0001,30258.59,SELL,1688797240086
0.0001,30190.01,SELL,1688797300838
0.0001,30174.19,BUY,1688797301218
0.0001,30188.38,SELL,1688797361823
0.0001,30169.06,BUY,1688797362058
0.0001,30164.369999999995,SELL,1688797422642
0.0001,30156.22,BUY,1688797422998
0.0001,30174.989999999998,BUY,1688797483813
0.0001,30184.84,SELL,1688797484174
0.0001,30172.449999999997,SELL,1688797544858
0.0001,30156.54,BUY,1688797545213
0.0001,30180.01,SELL,1688797606144
0.0001,30150.02,BUY,1688797606373
0.0001,30190.03,SELL,1688797666955
0.0001,30159.36,BUY,1688797667314
0.0001,30195.029999999995,SELL,1688797728238
0.0001,30211.38,BUY,1688797789479
0.0001,30231.5,SELL,1688797789712
0.0001,30199.96,BUY,1688797850531
0.0001,30306.67,SELL,1688797850774
0.0001,30190.03,SELL,1688797911529
0.0001,30195.02,BUY,1688797911916
0.0001,30199.96,BUY,1688797972679
0.0001,30199.95,BUY,1688798033737
0.0001,30180.01,SELL,1688798094543
0.0001,30197.0,BUY,1688798094778
0.0001,30185.01,SELL,1688798155072
0.0001,30187.75,BUY,1688798155305
0.0001,30200.0,SELL,1688798215922
0.0001,30116.1,BUY,1688798216160
0.0001,30218.79,BUY,1688798276719
0.0001,30244.7,SELL,1688798276949
0.0001,30200.01,SELL,1688798337394
0.0001,30165.73,BUY,1688798337625
0.0001,30200.01,SELL,1688798398121
0.0001,30184.55,BUY,1688798398347
0.0001,30187.789999999997,SELL,1688798458806
0.0001,30188.3,SELL,1688798520115
0.0001,30149.21,BUY,1688798520478
0.0001,30214.989999999998,BUY,1688798581336
0.0001,30272.55,SELL,1688798581560
0.0001,30171.019999999997,SELL,1688799246067
0.0001,30126.2,BUY,1688799246524
0.0001,30173.16,SELL,1688799307470
0.0001,30168.27,SELL,1688799368614
